date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:54:24	100286/100286	---M--	200	added ('OK')	image/jpeg	etag:%22187be-5e206ea1-13cfec;;;%22	https://gfxpartner.com/Frolic/images/history01.jpg	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/history01.jpg	(from https://gfxpartner.com/Frolic/index-norway.html)
15:54:25	100494/100494	---M--	200	added ('OK')	image/jpeg	etag:%221888e-5e206ea1-13cfde;;;%22	https://gfxpartner.com/Frolic/images/history02.jpg	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/history02.jpg	(from https://gfxpartner.com/Frolic/index-norway.html)
15:54:26	100398/100398	---M--	200	added ('OK')	image/jpeg	etag:%221882e-5e206ea1-13cfe0;;;%22	https://gfxpartner.com/Frolic/images/history03.jpg	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/history03.jpg	(from https://gfxpartner.com/Frolic/index-norway.html)
15:54:28	2953/2953	---M-Z	200	added ('OK')	text/css	etag:%225eb03f2c-b89%22	https://cdnjs.cloudflare.com/ajax/libs/odometer.js/0.4.8/themes/odometer-theme-default.min.css	C:/My%20Web%20Sites/goa/cdnjs.cloudflare.com/ajax/libs/odometer.js/0.4.8/themes/odometer-theme-default.min.css	(from https://gfxpartner.com/Frolic/index-finland.html)
15:54:28	636/636	---M--	200	added ('OK')	image/png	etag:%2227c-5e206ea1-13cfe9;;;%22	https://gfxpartner.com/Frolic/images/intro-icon01.png	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/intro-icon01.png	(from https://gfxpartner.com/Frolic/index-finland.html)
15:54:29	860/860	---M--	200	added ('OK')	image/png	etag:%2235c-5e206ea1-13cfdb;;;%22	https://gfxpartner.com/Frolic/images/intro-icon02.png	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/intro-icon02.png	(from https://gfxpartner.com/Frolic/index-finland.html)
15:54:30	660/660	---M--	200	added ('OK')	image/png	etag:%22294-5e206ea1-13cfe4;;;%22	https://gfxpartner.com/Frolic/images/intro-icon03.png	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/intro-icon03.png	(from https://gfxpartner.com/Frolic/index-finland.html)
15:54:30	420/420	---M--	200	added ('OK')	image/png	etag:%221a4-5e206ea1-13cfbc;;;%22	https://gfxpartner.com/Frolic/images/intro-icon04.png	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/intro-icon04.png	(from https://gfxpartner.com/Frolic/index-finland.html)
15:54:31	36380/36380	---M--	200	added ('OK')	image/jpeg	etag:%228e1c-5e206ea1-13cfb7;;;%22	https://gfxpartner.com/Frolic/images/attractions01.jpg	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/attractions01.jpg	(from https://gfxpartner.com/Frolic/index-finland.html)
15:54:31	24649/24649	---M--	200	added ('OK')	image/jpeg	etag:%226049-5e206ea1-13cfb1;;;%22	https://gfxpartner.com/Frolic/images/attractions02.jpg	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/attractions02.jpg	(from https://gfxpartner.com/Frolic/index-finland.html)
15:54:31	33384/33384	---M--	200	added ('OK')	image/jpeg	etag:%228268-5e206ea1-13cfa5;;;%22	https://gfxpartner.com/Frolic/images/attractions03.jpg	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/attractions03.jpg	(from https://gfxpartner.com/Frolic/index-finland.html)
15:54:32	40829/40829	---M--	200	added ('OK')	image/jpeg	etag:%229f7d-5e206ea1-13cf9c;;;%22	https://gfxpartner.com/Frolic/images/attractions04.jpg	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/attractions04.jpg	(from https://gfxpartner.com/Frolic/index-finland.html)
15:54:33	42692/42692	---M--	200	added ('OK')	image/jpeg	etag:%22a6c4-5e206ea1-13cf9e;;;%22	https://gfxpartner.com/Frolic/images/attractions06.jpg	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/attractions06.jpg	(from https://gfxpartner.com/Frolic/index-finland.html)
15:54:33	27580/27580	---M--	200	added ('OK')	image/jpeg	etag:%226bbc-5e206ea1-13cf92;;;%22	https://gfxpartner.com/Frolic/images/attractions05.jpg	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/attractions05.jpg	(from https://gfxpartner.com/Frolic/index-finland.html)
15:54:33	24293/24293	---M--	200	added ('OK')	image/jpeg	etag:%225ee5-5e206ea1-13cfa4;;;%22	https://gfxpartner.com/Frolic/images/attractions07.jpg	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/attractions07.jpg	(from https://gfxpartner.com/Frolic/index-finland.html)
15:54:33	19072/19072	---M--	200	added ('OK')	image/jpeg	etag:%224a80-5e206ea1-13cf8f;;;%22	https://gfxpartner.com/Frolic/images/attractions08.jpg	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/attractions08.jpg	(from https://gfxpartner.com/Frolic/index-finland.html)
15:54:34	37632/37632	---M--	200	added ('OK')	image/jpeg	etag:%229300-5e206ea1-13cf7f;;;%22	https://gfxpartner.com/Frolic/images/attractions09.jpg	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/attractions09.jpg	(from https://gfxpartner.com/Frolic/index-finland.html)
15:54:35	23328/23328	---M--	200	added ('OK')	image/png	etag:%225b20-5e206ea2-13cf62;;;%22	https://gfxpartner.com/Frolic/images/team01.png	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/team01.png	(from https://gfxpartner.com/Frolic/index-finland.html)
15:54:35	24681/24681	---M--	200	added ('OK')	image/png	etag:%226069-5e206ea2-13cf6e;;;%22	https://gfxpartner.com/Frolic/images/team02.png	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/team02.png	(from https://gfxpartner.com/Frolic/index-finland.html)
15:54:36	19174/19174	---M--	200	added ('OK')	image/png	etag:%224ae6-5e206ea2-13cf69;;;%22	https://gfxpartner.com/Frolic/images/team03.png	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/team03.png	(from https://gfxpartner.com/Frolic/index-finland.html)
15:54:36	179130/179130	---M--	200	added ('OK')	image/jpeg	etag:%222bbba-5e206ea1-13cfaa;;;%22	https://gfxpartner.com/Frolic/images/quote-bg05.jpg	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/quote-bg05.jpg	(from https://gfxpartner.com/Frolic/index-norway.html)
15:54:37	26565/26565	---M--	200	added ('OK')	image/png	etag:%2267c5-5e206ea2-13cf89;;;%22	https://gfxpartner.com/Frolic/images/team04.png	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/team04.png	(from https://gfxpartner.com/Frolic/index-finland.html)
15:54:37	23713/23713	---M--	200	added ('OK')	image/png	etag:%225ca1-5e206ea2-13cf84;;;%22	https://gfxpartner.com/Frolic/images/team05.png	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/team05.png	(from https://gfxpartner.com/Frolic/index-finland.html)
15:54:38	23209/23209	---M--	200	added ('OK')	image/png	etag:%225aa9-5e206ea2-13cf73;;;%22	https://gfxpartner.com/Frolic/images/team06.png	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/team06.png	(from https://gfxpartner.com/Frolic/index-finland.html)
